animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
279487,GAAAG1111022004,11,69,彰化縣流浪狗中途之家,狗,混種狗,F,SMALL,黑色,,F,F,員大路7-11號,,OPEN,,,2022-10-22,2999-12-31,2022/10/24,2022/10/22,彰化縣流浪狗中途之家,,,2022/10/24,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
279486,GAAAG1111022003,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,黃白色,ADULT,F,F,田墘巷2號,,OPEN,,,2022-10-22,2999-12-31,2022/10/24,2022/10/22,彰化縣流浪狗中途之家,,,2022/10/24,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
278315,111101404,2,49,臺北市動物之家,貓,混種貓,M,MEDIUM,虎斑白色,,T,F,敦安里	信義路四段,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/10/14,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/c397a12b-7ccb-4966-b2b2-b6bcdcb313c6_org.jpg,,2022/10/23,臺北市內湖區安美街191號,02-87913254
277985,111101203,2,49,臺北市動物之家,貓,混種貓,M,MEDIUM,黑白色,,T,F,保安里哈密街59巷,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/10/12,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/f1c060a3-aa0d-4291-a352-ec2af86cf4c2_org.jpg,,2022/10/23,臺北市內湖區安美街191號,02-87913254
278431,111101503,2,49,臺北市動物之家,貓,混種貓,M,MEDIUM,虎斑白色,,T,F,興亞里	松江路70巷,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/10/15,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/fca4ab1b-2758-4a26-96ef-0b6aa90405bc_org.jpg,,2022/10/23,臺北市內湖區安美街191號,02-87913254
277994,111101206,2,49,臺北市動物之家,貓,混種貓,M,MEDIUM,虎斑色,,T,F,華中里	環河南路三段,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/10/12,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/edb32bf0-b417-4661-999e-b22ab5e69a34_org.jpg,,2022/10/23,臺北市內湖區安美街191號,02-87913254
274915,111092101,2,49,臺北市動物之家,貓,混種貓,M,MEDIUM,虎斑白色,,T,F,安康路,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/09/21,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/47fecb46-6fe9-463d-ba6c-de9aafcd6c54_org.jpg,,2022/10/23,臺北市內湖區安美街191號,02-87913254
275365,111092306,2,49,臺北市動物之家,貓,混種貓,F,MEDIUM,黑白色,,T,F,下埤里	龍江路415巷,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/09/23,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/4da48b6c-c5c4-48f8-b2b6-981b3956d357_org.jpg,,2022/10/23,臺北市內湖區安美街191號,02-87913254
279478,AAACG1111023005,3,51,新北市新店區公立動物之家,貓,混種貓,F,SMALL,玳瑁色,,F,F,光華街5巷,,OPEN,,,2022-10-23,2999-12-31,2022/10/23,2022/10/23,新北市新店區公立動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/088b0920-0ac2-4390-bf76-ee6c226491a5_org.jpg,,2022/10/23,新北市新店區安泰路235號,02-22159462
279468,AAADG2022102304,3,50,新北市板橋區公立動物之家,貓,混種貓,M,SMALL,黑白色,,F,F,備內街113號-3,,OPEN,111/10/22 除蚤 900073000427249,,2022-10-25,2999-12-31,2022/10/23,2022/10/23,新北市板橋區公立動物之家,,,2022/10/23,新北市板橋區板城路28-1號,02-89662158
279466,AAADG2022102303,3,50,新北市板橋區公立動物之家,貓,混種貓,M,SMALL,虎斑色,,F,F,備內街113號-3,,OPEN,111/10/22 除蚤 90007300042706,,2022-10-25,2999-12-31,2022/10/23,2022/10/23,新北市板橋區公立動物之家,,,2022/10/23,新北市板橋區板城路28-1號,02-89662158
279467,LAAAG1111023G1,17,75,高雄市壽山動物保護教育園區,狗,法國鬥牛犬,F,SMALL,黃色,,F,F,瑞隆路,,OPEN,※協尋飼主 暫不開放,,,2999-12-31,2022/10/23,2022/10/23,高雄市壽山動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/267c21ca-ee9b-4489-8f92-1c777a86a8f7_org.JPG,,2022/10/23,高雄市鼓山區萬壽路350號,07-5519059
279465,AAADG2022102302,3,50,新北市板橋區公立動物之家,貓,混種貓,F,SMALL,黃虎斑色,,F,F,備內街113號-3,,OPEN,111/10/22 除蚤 900073000427214,,2022-10-25,2999-12-31,2022/10/23,2022/10/23,新北市板橋區公立動物之家,,,2022/10/23,新北市板橋區板城路28-1號,02-89662158
279464,AAADG2022102301,3,50,新北市板橋區公立動物之家,貓,混種貓,F,SMALL,黃虎斑色,,F,F,備內街113號-3,,OPEN,111/10/22 除蚤 900073000427218,,2022-10-25,2999-12-31,2022/10/23,2022/10/23,新北市板橋區公立動物之家,,,2022/10/23,新北市板橋區板城路28-1號,02-89662158
279463,AAAHG1111023001,3,58,新北市五股區公立動物之家,狗,混種狗,M,MEDIUM,黑色,,T,F,蘆洲第五停車場,,OPEN,,,2022-10-31,2999-12-31,2022/10/23,2022/10/23,新北市五股區公立動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/b9326e6b-3228-4e7d-8a3c-b636c831dec5_org.jpg,,2022/10/23,新北市五股區外寮路9-9號,02-82925265
268291,CAAAG1110804009,6,61,桃園市動物保護教育園區,狗,法國鬥牛犬,F,SMALL,黃白色,ADULT,F,F,華夏路,,OPEN,,,2022-10-11,2999-12-31,2022/10/23,2022/08/04,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/41994cfd-1ae3-4ea0-974c-91ebe8b00d1a_org.jpg,,2022/10/23,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
277302,GAAAG1111006002,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,黃色,,T,F,興農路,,OPEN,,,2022-10-14,2999-12-31,2022/10/23,2022/10/06,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/d8fb2307-282a-4ac5-bf4b-4ce3fa2db827_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
275131,GAAAG1110922002,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,虎斑色,,T,F,成功國小,,OPEN,,,2022-09-22,2999-12-31,2022/10/23,2022/09/22,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/bc66073c-ee69-41e4-97fe-05f0623c2873_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
275133,GAAAG1110922003,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,虎斑色,,T,F,成功國小,,OPEN,,,2022-09-22,2999-12-31,2022/10/23,2022/09/22,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/e9140238-6205-4fdb-bbde-0ac6fc051b7d_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
277901,GAAAG1111012005,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,SMALL,虎斑色,,T,F,坑內坑步道附近,,OPEN,,,2022-10-12,2999-12-31,2022/10/23,2022/10/12,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/3f396dda-75dc-4c6e-a281-356d8d8c62d2_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
278035,GAAAG1111013002,11,69,彰化縣流浪狗中途之家,狗,混種狗,F,MEDIUM,黑色,,T,F,湖水路411巷,,OPEN,,,2022-10-13,2999-12-31,2022/10/23,2022/10/13,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/33fcb77f-369e-4d57-ae7f-a2c63549a40b_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
277769,GAAAG1111011002,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,黑黃色,,T,F,員東路一段171巷20弄19號,,OPEN,,,2022-10-19,2999-12-31,2022/10/23,2022/10/11,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/33ebf038-e49e-415b-b2f7-22384b96a3d0_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
278558,GAAAG1111017003,11,69,彰化縣流浪狗中途之家,狗,混種狗,F,MEDIUM,黑色,,T,F,洋厝巷108號,,OPEN,,,2022-10-17,2999-12-31,2022/10/23,2022/10/17,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/dbb2707d-ec39-4503-8a5d-bb10bb739f6e_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
278032,GAAAG1111013001,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,黃黑色,,T,F,崙饒路,,OPEN,,,2022-10-13,2999-12-31,2022/10/23,2022/10/13,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/86d63d1d-2358-4779-a1fa-367bc37138fb_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
278674,GAAAG1111018001,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,黑色,,T,F,潭墘國小附近,,OPEN,,,2022-10-18,2999-12-31,2022/10/23,2022/10/18,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/75136fda-14fe-41a0-b273-12c80998b0d1_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
276357,GAAAG1110929007,11,69,彰化縣流浪狗中途之家,狗,混種狗,M,MEDIUM,黑色,,T,F,溪底巷,,OPEN,,,2022-09-29,2999-12-31,2022/10/23,2022/09/29,彰化縣流浪狗中途之家,https://asms.coa.gov.tw/amlapp/upload/pic/f24b5d5c-1583-49e6-816a-edfe42188a87_org.jpg,,2022/10/23,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638
234996,110121005,2,49,臺北市動物之家,貓,混種貓,M,MEDIUM,虎斑色,,F,F,中心里珠海路,,OPEN,,,2022-01-01,2999-12-31,2022/10/22,2021/12/10,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/f0019078-432d-47cd-b078-b18d394e0b6f_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
209043,110060505,2,49,臺北市動物之家,貓,混種貓,F,MEDIUM,黑黃色,,F,F,新安里仰德大道三段125巷,,OPEN,,,2021-06-15,2999-12-31,2022/10/22,2021/06/05,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/a11ac527-6160-4623-96c3-bd98e956882a_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
274611,111091902,2,49,臺北市動物之家,貓,混種貓,F,MEDIUM,黑色,,T,F,永福里	仰德大道二段４１巷１２弄,,OPEN,,,2022-10-13,2999-12-31,2022/10/22,2022/09/19,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/8c35de35-4ce7-48fb-963b-48c8d486b95c_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
258219,111060501,2,49,臺北市動物之家,貓,混種貓,F,MEDIUM,黑黃色,,T,F,舊莊里舊莊街二段,,OPEN,,,2022-06-13,2999-12-31,2022/10/22,2022/06/05,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/27d87f5f-3bcd-4094-9950-00d325c07e68_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
84819,CAAAG1080220004,6,61,桃園市動物保護教育園區,狗,混種狗,F,SMALL,黑色,,T,F,中堅里龍東路,,OPEN,,,2019-02-20,2999-12-31,2022/10/22,2019/02/20,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/022c3f03-505b-402c-adcf-a8fb7f0b377b_org.JPG,,2022/10/22,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
148951,CAAAG1090317010,6,61,桃園市動物保護教育園區,狗,混種狗,F,MEDIUM,黃色,,F,F,大順里介壽路二段５８３巷,,OPEN,,,2021-09-14,2999-12-31,2022/10/22,2020/03/17,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/71dec463-04af-48e7-b66f-6a05246e9b98_org.JPG,,2022/10/22,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
262661,AAAGG1110628003,3,56,新北市瑞芳區公立動物之家,貓,混種貓,F,SMALL,虎斑白色,,F,F,瑞芳區,,OPEN,,,2022-06-28,2999-12-31,2022/10/22,2022/06/28,新北市瑞芳區公立動物之家,,,2022/10/22,新北市瑞芳區靜安路四段(106縣道74.5K清潔隊場區內),02-24063481
279453,PAAAG1111021033,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黑黃色,,F,F,澎管處,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/21,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/8fd374a7-c8ac-408c-b3cc-1a290d6f9c6e_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279427,AAADG2022102203,3,50,新北市板橋區公立動物之家,貓,混種貓,M,SMALL,虎斑白色,,T,F,樹林區,,OPEN,退回原因:與舊貓無法和睦.會不定時伸舌喘氣.可能心臟有問題.有做BNP.肺部檢查.X光沒事.醫生建議詳細檢查,,2022-10-22,2999-12-31,2022/10/22,2022/10/22,新北市板橋區公立動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/f6fdfdaa-b59e-4b9e-a38a-46db322b251e_org.png,,2022/10/22,新北市板橋區板城路28-1號,02-89662158
279452,PAAAG111102032,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,灰色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/c0c023e5-8f99-4617-86ef-364882fba25f_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279451,PAAAG1111020031,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黑黃色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/d1bc37c5-7471-423c-bf76-fc95e26f4f39_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279449,PAAAG1111020030,21,83,澎湖縣流浪動物收容中心,狗,混種狗,M,SMALL,黑黃色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/7bae8465-33e6-4d30-b50e-139ec8a9fb9e_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279446,PAAAG1111021029,21,83,澎湖縣流浪動物收容中心,狗,混種狗,M,SMALL,黃色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/1f1ee493-18c8-4ad3-8ecc-ce5c87fd8071_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279444,PAAAG1111021028,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黃色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/04c28de0-ae92-42aa-aad1-9c9de1cf860c_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279440,PAAAG1111020027,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黃色,,F,F,國家風景管理處後側公園,,OPEN,,,,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/e0cfa6ac-cbab-417c-9c6e-276ec16d5932_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279423,AAAHG1111022002,3,58,新北市五股區公立動物之家,貓,混種貓,M,MEDIUM,虎斑色,,F,F,凌雲路一段,,OPEN,,,2022-10-30,2999-12-31,2022/10/22,2022/10/22,新北市五股區公立動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/7e3a7c08-7c7d-4a6b-ae5a-308b1430036e_org.jpg,,2022/10/22,新北市五股區外寮路9-9號,02-82925265
279437,PAAAG1111020026,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黑色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/4846f5e3-4369-41e4-b7ce-086926b2db17_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279435,PAAAG1111021025,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黑色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/c41a4756-2705-46c7-9bb4-5fa1866dc275_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279432,PAAAG1111020024,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黑色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/9189729a-1576-47f4-b1e3-3a5d5d531a83_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279431,PAAAG1111020023,21,83,澎湖縣流浪動物收容中心,狗,混種狗,F,SMALL,黑色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/98281412-f781-4abf-a194-93fa8bee8dc6_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279430,PAAAG1111020022,21,83,澎湖縣流浪動物收容中心,狗,混種狗,M,SMALL,黑色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,https://asms.coa.gov.tw/amlapp/upload/pic/fcb02ae9-6271-488b-94fd-f753ea68479f_org.jpeg,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279428,PAAAG1111020021,21,83,澎湖縣流浪動物收容中心,狗,混種狗,M,SMALL,黑色,,F,F,國家風景管理處後側公園,,OPEN,,,2022-10-29,2999-12-31,2022/10/22,2022/10/20,澎湖縣流浪動物收容中心,,,2022/10/22,澎湖縣馬公市烏崁里260、261號,06-9213559
279425,DAAAG1111022012,7,63,新竹縣動物保護防疫所,貓,混種貓,M,SMALL,黃白色,,F,F,竹東鎮中豐路,,OPEN,預估111/9/1出生，個性親人溫順，10/22入所時消瘦虛弱，有耳疥蟲、球蟲治療中,,2022-10-22,2999-12-31,2022/10/22,2022/10/22,新竹縣動物保護防疫所,https://asms.coa.gov.tw/amlapp/upload/pic/60065666-411c-4ef3-8216-b13d84d02ea0_org.jpg,,2022/10/22,新竹縣竹北市縣政五街192號,03-5519548
241300,111020406,2,49,臺北市動物之家,狗,混種狗,M,MEDIUM,咖啡色,,F,F,雙連里	錦西街(原拾獲地：重慶北路4段),,OPEN,,,2022-02-15,2999-12-31,2022/10/22,2022/02/04,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/e7d45dab-119d-48ab-a513-1deb89c9836c_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
269652,111081402,2,49,臺北市動物之家,狗,混種狗,M,MEDIUM,虎斑色,ADULT,T,F,泉源里東昇路,,OPEN,消瘦，前胸腹部腫塊破裂,,2022-09-06,2999-12-31,2022/10/22,2022/08/14,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/3c3caf59-31ae-497d-87d1-0953d4ee5703_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
279418,111102204,2,49,臺北市動物之家,狗,混種狗,F,SMALL,黑色,,F,F,動物之家,,OPEN,,,2022-10-22,2999-12-31,2022/10/22,2022/10/22,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/138aeb34-3e17-4e0a-ac8a-d346897bdbab_org.jpg,,2022/10/22,臺北市內湖區安美街191號,02-87913254
272360,CAAAG1110901012,6,61,桃園市動物保護教育園區,貓,混種貓,F,SMALL,黑虎斑色,,F,F,永安綠色隧道,,OPEN,,,2022-10-22,2999-12-31,2022/10/22,2022/09/01,桃園市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/a178fbc3-d66e-4c57-bb9d-a0fcd60f4726_org.jpg,,2022/10/22,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
